policy,candidatesupport,taxesfortreatment,emotionscale,sw,sb,ns,uw,ub,pooledwhite,pooledblack,pooledsymp,pooledunsymp,treat,RR,whiteid,racialstereotype,conservative,moderate,liberal,republican,independent,democrat,age,region,hsgrad,somecollege,collegegrad,postgrad,female,d25kto34k,d35kto49k,d50kto74k,d75kto99k,d100kto149k,d150kormore,pid7,ideo,perwhiteaddicts,perblackaddicts,overrepwhiteaddicts,overrepblackaddicts,sympathymike,opioidnews,state
0,0.25,0.6,0.575,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.125,0.25,0,1,0,0,1,0,0,60,South,0,0,1,0,1,0,0,0,0,0,1,0.666666667,5,0.6,0.3,0,1,0.5,Not too closely,FL
0,0.5,0,0.475,0,0,1,0,0,0,0,0,0,No Story,0.125,0.5,0,0,1,0,0,0,1,58,South,0,0,1,0,0,0,0,0,0,0,0,0.333333333,4,0.7,0.2,1,1,NA,Not closely at all,FL
0,0,0,0.25,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,1,0.5,NA,NA,NA,1,0,0,39,Midwest,1,0,0,0,0,0,0,1,0,0,0,0.666666667,NA,0.8,0.1,1,0,0,Not too closely,MI
1,1,0.6,1,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,-0.166666667,0,0,1,0,0,1,24,Northeast,0,1,0,0,0,0,0,1,0,0,0,0.333333333,1,0.8,0.1,1,0,1,Not too closely,MA
1,0.75,0.4,0.725,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0.5,0,0,0,1,1,0,0,59,South,0,0,0,1,0,0,0,0,0,0,1,0.833333333,2,0.8,0.2,1,1,0.25,Not too closely,TN
0,0.5,0.4,0.7,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.75,0.5,0,1,0,0,1,0,0,65,South,0,1,0,0,0,0,0,0,1,0,0,0.666666667,6,0.2,0.2,0,1,0.5,Not too closely,TX
1,0.5,0.2,0.425,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0.5,0,NA,NA,NA,1,0,0,36,Midwest,0,0,0,1,1,0,0,0,1,0,0,0.666666667,NA,0.7,0.15,1,1,0,Not too closely,IA
0,0.5,0.2,0.55,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.25,0.5,0.166666667,1,0,0,1,0,0,47,West,0,0,1,0,0,0,0,0,1,0,0,0.833333333,5,0.3,0.4,0,1,0.5,Not too closely,UT
0,0.5,0,0.3,0,0,1,0,0,0,0,0,0,No Story,0.625,0,0,0,1,0,1,0,0,46,South,0,0,0,1,1,0,0,0,1,0,0,0.833333333,4,0.75,0.1,1,0,NA,Very closely,SC
1,1,0.2,0.675,0,0,1,0,0,0,0,0,0,No Story,0,0,0,0,0,1,0,0,1,24,West,0,0,1,0,1,0,0,0,0,1,0,0,2,0.75,0.1,1,0,NA,Not too closely,CA
1,0.75,0.2,0.55,1,0,0,0,0,1,0,1,0,Sympathetic White,0.875,0,0,1,0,0,1,0,0,70,West,0,1,0,0,1,0,0,0,1,0,0,1,6,0.5,0.25,0,1,1,Not too closely,CA
1,0.75,0.2,0.75,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0.25,0,0,0,1,0,0,1,30,Northeast,0,0,0,1,0,0,0,0,1,0,0,0.333333333,2,0.1,0.7,0,1,0.75,Not closely at all,NY
1,0.5,0.4,0.675,0,0,1,0,0,0,0,0,0,No Story,0.625,0.5,0,1,0,0,1,0,0,67,South,0,0,0,1,1,0,0,1,0,0,0,0.666666667,6,0.5,0.4,0,1,NA,Very closely,FL
0,0.5,0,0.325,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.75,-0.166666667,0,0,1,0,0,1,55,South,0,1,0,0,0,1,0,0,0,0,0,0.166666667,3,0.65,0.3,1,1,0.5,Fairly closely,TX
1,1,0.6,0.45,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.625,0.5,0.666666667,0,0,1,0,0,1,46,Midwest,0,1,0,0,1,0,1,0,0,0,0,0,2,0.4,0.4,0,1,0.5,Fairly closely,OH
1,1,0.2,0.425,0,0,1,0,0,0,0,0,0,No Story,0,0.5,-0.833333333,0,0,1,0,0,1,42,South,0,0,1,0,1,0,0,0,1,0,0,0,2,0.9,0.05,1,0,NA,Fairly closely,OK
1,0.75,0.2,0.575,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0,0,0,0,1,1,0,0,31,Midwest,0,1,0,0,1,0,0,1,0,0,0,0.666666667,2,0.8,0.18,1,1,0.25,Fairly closely,OH
0,0.25,0.2,0.45,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.75,0,0.166666667,0,0,1,0,0,1,60,Midwest,0,0,1,0,0,0,0,0,1,0,0,0.166666667,2,0.03,0.04,0,0,0,Not too closely,WI
1,0.5,0,0.75,1,0,0,0,0,1,0,1,0,Sympathetic White,1,NA,0,0,0,1,1,0,0,59,Northeast,1,0,0,0,0,0,0,0,1,0,0,0.666666667,2,0.64,0.12,1,1,0.25,Not too closely,NY
1,0.75,0.2,0.25,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0.5,0,1,0,0,1,0,0,74,West,0,1,0,0,1,0,1,0,0,0,0,0.833333333,5,0.45,0.45,0,1,1,Very closely,UT
1,0.75,0.2,0.475,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,-0.166666667,0,0,1,0,0,1,24,Midwest,0,1,0,0,0,1,0,0,0,0,0,0,2,0.2,0.6,0,1,0.75,Not too closely,WI
1,0,0,0.875,0,1,0,0,0,0,1,1,0,Sympathetic Black,1,0.25,0.333333333,0,0,1,1,0,0,28,South,0,1,0,0,0,0,0,1,0,0,0,0.666666667,2,0.5,0.35,0,1,0,Very closely,TX
1,0.75,0.2,0.675,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.375,0,0,NA,NA,NA,0,1,0,46,South,1,0,0,0,1,0,0,1,0,0,0,0.5,NA,0.64,0.05,1,0,0.75,Not too closely,MD
1,0.75,0,0.625,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.625,0.5,0,1,0,0,1,0,0,56,Midwest,0,1,0,0,1,0,1,0,0,0,0,0.666666667,5,0.25,0.5,0,1,1,Not too closely,IL
0,0.5,0.4,0.6,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.625,0.5,-0.166666667,0,1,0,0,0,1,23,Midwest,0,1,0,0,0,0,0,0,0,0,0,0.166666667,4,0.45,0.34,0,1,0.5,Not too closely,IL
1,0.75,0.6,0.65,0,0,1,0,0,0,0,0,0,No Story,0.5,1,0,1,0,0,1,0,0,73,South,0,0,1,0,1,0,0,0,1,0,0,1,6,0.4,0.3,0,1,NA,Not too closely,TX
0,0.25,0,0.85,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.875,0,0,1,0,0,1,0,0,32,West,0,0,1,0,1,0,1,0,0,0,0,0.666666667,7,0.64,0.12,1,1,1,Not closely at all,NV
1,0.5,0.4,0.55,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0,0,NA,NA,NA,0,1,0,35,West,1,0,0,0,1,0,0,0,0,1,0,0.5,NA,0.34,0.33,0,1,0.5,Not closely at all,CA
1,1,0.2,0.475,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0.5,-0.166666667,NA,NA,NA,NA,NA,NA,19,Midwest,0,0,0,0,1,0,0,0,1,0,0,NA,NA,0.38,0.4,0,1,0.75,Not too closely,MN
1,1,1,0.825,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0.5,0,0,1,0,0,0,1,54,Midwest,0,1,0,0,1,0,0,0,0,1,0,0.333333333,4,0.8,0.05,1,0,0.75,Fairly closely,MN
1,0.75,0.2,0.6,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.125,0,0,0,0,1,0,1,0,39,South,0,0,1,0,0,0,0,1,0,0,0,0.5,3,0.3,0.6,0,1,0.5,Not closely at all,FL
0,0.5,0,0.9,1,0,0,0,0,1,0,1,0,Sympathetic White,0.375,0.5,0,0,1,0,0,0,1,38,Midwest,0,0,1,0,1,0,0,0,0,0,0,0.333333333,4,0.75,0.15,1,1,0.75,Not closely at all,WI
1,1,0.4,0.725,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0,0,0,0,1,0,0,1,34,Midwest,0,0,1,0,1,1,0,0,0,0,0,0,2,0.4,0.35,0,1,0.5,Not too closely,ND
1,0.5,0.2,0.275,1,0,0,0,0,1,0,1,0,Sympathetic White,0.625,0.25,0,0,0,1,0,1,0,63,West,0,1,0,0,1,0,1,0,0,0,0,0.5,1,0.6,0.2,0,1,0.5,Not too closely,CA
1,1,0.6,0.925,0,1,0,0,0,0,1,1,0,Sympathetic Black,0,0.25,-0.166666667,0,0,1,0,0,1,27,West,0,1,0,0,0,0,0,0,0,0,0,0,2,0.6,0.35,0,1,1,Not too closely,CA
1,0.5,0.6,0.5,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0,0,0,0,1,0,0,1,62,Northeast,0,0,0,1,0,0,0,0,1,0,0,0.166666667,3,0.8,0.15,1,1,0.5,Not too closely,CT
1,1,0.4,0.5,0,0,0,1,0,1,0,0,1,Unsympathetic White,1,0,0,1,0,0,1,0,0,65,South,0,1,0,0,0,0,0,0,1,0,0,0.666666667,6,0.6,0.3,0,1,1,Very closely,FL
1,0.75,0.2,0.9,0,1,0,0,0,0,1,1,0,Sympathetic Black,0,0.75,-0.5,1,0,0,0,0,1,72,West,0,0,1,0,1,0,0,0,1,0,0,0.166666667,6,0.4,0.5,0,1,1,Fairly closely,WA
1,0.75,0.6,0.25,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.875,0,0,0,0,1,1,0,0,65,West,0,1,0,0,0,0,0,0,1,0,0,0.833333333,2,0.3,0.4,0,1,0,Fairly closely,CO
0,0.5,0,0.575,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.75,0.5,-0.166666667,1,0,0,1,0,0,19,West,0,1,0,0,0,0,0,0,0,1,0,0.666666667,6,0.5,0.3,0,1,0.25,Not too closely,OR
1,1,0.2,0.5,0,0,1,0,0,0,0,0,0,No Story,0,0,0,0,0,1,0,1,0,67,South,0,1,0,0,1,0,0,0,1,0,0,0.5,2,0.7,0.2,1,1,NA,Fairly closely,FL
0,0.5,0,0.5,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.5,0.25,0,1,0,0,1,0,0,25,Northeast,0,1,0,0,0,0,1,0,0,0,0,0.833333333,6,0.5,0.35,0,1,0.5,Not closely at all,PA
1,0.5,0.4,0.525,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.5,0,0,1,0,0,0,1,55,West,0,1,0,0,0,1,0,0,0,0,0,0.166666667,4,0.4,0.4,0,1,0.5,Not too closely,CO
1,1,0.6,0.8,0,0,1,0,0,0,0,0,0,No Story,0,0,0,0,0,1,0,0,1,45,Midwest,1,0,0,0,1,0,0,1,0,0,0,0,2,0.5,0.1,0,0,NA,Fairly closely,MI
0,0.5,0,0.6,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.5,0.75,0.5,NA,NA,NA,0,1,0,69,West,1,0,0,0,1,0,0,1,0,0,0,0.5,NA,0.5,0.5,0,1,0,Not closely at all,CA
0,0.25,0,0.375,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0.5,0,1,0,0,1,0,0,74,South,0,0,1,0,1,0,1,0,0,0,0,1,7,0.64,0.12,1,1,0.25,Fairly closely,FL
0,0.5,0.2,0.45,0,0,1,0,0,0,0,0,0,No Story,1,0,0,1,0,0,1,0,0,24,South,0,1,0,0,1,0,1,0,0,0,0,0.833333333,5,0.5,0.35,0,1,NA,Not too closely,GA
1,0.75,0.2,0.8,0,1,0,0,0,0,1,1,0,Sympathetic Black,0.25,0,0,0,1,0,0,0,1,65,Midwest,0,0,0,1,1,0,0,1,0,0,0,0.333333333,4,0.55,0.35,0,1,0.75,Fairly closely,ND
1,1,0.6,0.55,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0,0,0,0,0,1,0,0,1,69,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,0.07,1,0,0.5,Not too closely,MN
0,0.25,0,0.5,0,0,1,0,0,0,0,0,0,No Story,0.875,0,0,1,0,0,1,0,0,61,Midwest,0,1,0,0,0,0,1,0,0,0,0,0.666666667,6,0.64,0.12,1,1,NA,Not closely at all,IL
1,0.75,0.2,0.625,1,0,0,0,0,1,0,1,0,Sympathetic White,0,0,-0.166666667,0,0,1,0,0,1,40,Northeast,0,0,0,1,1,0,0,1,0,0,0,0,3,0.7,0.07,1,0,0.5,Not too closely,PA
1,0.5,0.4,0.675,0,0,0,1,0,1,0,0,1,Unsympathetic White,0,0,-0.5,0,0,1,0,0,1,59,Northeast,0,0,1,0,1,0,0,0,0,0,1,0,3,0.7,0.15,1,1,0.5,Fairly closely,PA
1,1,0.6,0.525,0,0,0,0,1,0,1,0,1,Unsympathetic Black,0.875,0,0,1,0,0,1,0,0,61,South,1,0,0,0,1,0,0,0,0,0,0,1,6,0.5,0.5,0,1,1,Fairly closely,FL
0,0.25,0,0.725,1,0,0,0,0,1,0,1,0,Sympathetic White,0.25,0,0,0,0,1,0,1,0,34,Northeast,0,0,1,0,0,0,1,0,0,0,0,0.5,3,0.65,0.1,1,0,0,Not too closely,MA
0,0.5,0.2,0.55,1,0,0,0,0,1,0,1,0,Sympathetic White,1,0,0,1,0,0,1,0,0,26,South,0,0,1,0,0,0,1,0,0,0,0,0.666666667,5,0.6,0.2,0,1,0.25,Not closely at all,OK
1,0.75,0.6,0.825,0,0,0,1,0,1,0,0,1,Unsympathetic White,0.25,0.25,0,0,0,1,0,0,1,26,West,0,1,0,0,0,0,0,0,0,0,0,0.166666667,2,0.5,0.3,0,1,0.5,Not closely at all,ID
